text|source|chunk_id
"Neural Reasoning about Agents’ Goals, Preferences, and ActionsMatteo Bortoletto, Lei Shi, Andreas Bulling{matteo.bortoletto, lei.shi, andreas.bulling}@vis.uni-stuttgart.deUniversity of Stuttgart, GermanyAbstractWe propose the Intuitive Reasoning Network (IRENE) –

a novel neural model for intuitive psychological reason-

ing about agents’ goals, preferences, and actions that can

generalise previous experiences to new situations. IRENE

combines a graph neural network for learning agent and

world state representations with a transformer to encode the

task context. When evaluated on the challenging Baby Intu-

itions Benchmark, IRENE achieves new state-of-the-art per-

formance on three out of its five tasks – with up to 48.9 %

improvement. In contrast to existing methods, IRENE is able

to bind preferences to specific agents, to better distinguish

between rational and irrational agents, and to better under-

stand the role of blocking obstacles. We also investigate, for

the first time, the influence of the training tasks on test perfor-

mance. Our analyses demonstrate the effectiveness of IRENE

in combining prior knowledge gained during training for un-

seen evaluation tasks.IntroductionCommon-sense reasoning refers to a broad class of abil-

ities that enable agents to understand basic facts about

events, objects, beliefs, or desires (McCarthy 1989). Stud-

ies in developmental cognitive science have demonstrated"|data_input\cureus\2.txt|20798c58a9b94c11b981f2638d54af69
"events, objects, beliefs, or desires (McCarthy 1989). Stud-

ies in developmental cognitive science have demonstrated

that even young infants have these abilities (Needham and

Baillargeon 1993; Gergely et al. 1995; Aguiar and Bail-

largeon 1999) while their absence can be linked to devel-

opmental disorders, such as autism (Baron-Cohen 1997).

Given its fundamental importance for human social cog-

nition and behaviour, it is imperative that artificial intelli-

gent (AI) agents possess similar capabilities to effectively

be understood by humans and in turn, understand them.

This is crucial for a wide variety of applications, such as

robotics (Mota and Sridharan 2019) or human-machine col-

laboration (Conti, Varde, and Wang 2022). Previous research

in machine common-sense reasoning has mainly focused on

evaluating language processing (Bhagavatula et al. 2020;

Huang et al. 2019; Zellers et al. 2019; Bisk et al. 2020;

Sap et al. 2019; Sakaguchi et al. 2021) or visual scene un-

derstanding (Yi et al. 2020; Smith et al. 2019; Ates et al.

2022) in a task-specific manner. More recently, several new

benchmarks have been introduced that allow to assess the

Copyright © 2024, Association for the Advancement of Artificial

Intelligence (www.aaai.org). All rights reserved.more general ability of AI systems to reason about unex-

pected events or situations (Riochet et al. 2020; Gandhi et al.

2021; Dasgupta et al. 2021; Shu et al. 2021; Piloto et al."|data_input\cureus\2.txt|e1e81cd1eaa448b4a0a2cf9d28282952
"pected events or situations (Riochet et al. 2020; Gandhi et al.

2021; Dasgupta et al. 2021; Shu et al. 2021; Piloto et al.

2022; Weihs et al. 2022). Most of them focus on intuitive

physics (Yi et al. 2020; Smith et al. 2019; Ates et al. 2022;

Riochet et al. 2020; Dasgupta et al. 2021; Piloto et al. 2022;

Weihs et al. 2022; Piloto et al. 2018) in which computational

models have to reason about properties and interactions of

physical macroscopic objects. In contrast, comparably little

advances have been achieved in methods for intuitive psy-

chology, i.e. common-sense reasoning about other agents’

mental states from their observed behaviour (Gandhi et al.

2021; Shu et al. 2021).Similar to studies in developmental cognitive science,

evaluation of common-sense reasoning abilities in these

benchmarks uses a violation of expectation paradigm (Bail-

largeon 1987, VoE). In a set of familiarisation trials, an ob-

server model has to form an expectation about a particular

agent behaviour. In a subsequent test trial, given the context

extracted from the familiarisation trials, the observer has to

judge how expected the behaviour of the agent is. Expected-

ness is defined as the observer’s prediction error with respect

to a ground truth (e.g. agent’s next action). The core idea be-

hind the VoE paradigm is to pair test trials that may not differ

much in traditional error metrics but differ in terms of human"|data_input\cureus\2.txt|4d0889b0ea3f453391eabf33d908578c
"hind the VoE paradigm is to pair test trials that may not differ

much in traditional error metrics but differ in terms of human

reasoning. As such, VoE allows probing AI capabilities by

comparing scenarios that humans can differentiate based on

those capabilities.Inspired by behavioural experiments with infants, Gandhi

et al. have recently introduced the Baby Intuitions Bench-

mark (Gandhi et al. 2021, BIB) – a set of tasks that require

an observer model to reason about agents’ goals, prefer-

ences, and actions by observing their behaviour in a grid-

world environment. The BIB poses two key challenges.

First, despite being performed in the same grid-world envi-

ronment, training and evaluation tasks differ in their number

and setting. Moreover, test trials in the training set present

only expected outcomes, requiring observer models to gen-

eralise to unseen situations by combining different pieces

of knowledge gained during training. Second, the bench-

mark not only challenges models’ ability to predict future

actions but also to use them to quantify the expectedness

of novel situations. As such, the BIB can be seen as posing

a meta-learning problem (Rabinowitz et al. 2018) in whichan observer model “learns to learn” about other agents’ be-

haviour. While initial models are based on the machine the-

ory of mind network (Rabinowitz et al. 2018), the most re-

cent model (Hein and Diepold 2022, VT) is based on a video"|data_input\cureus\2.txt|de456b44b85940e2895a5f2ddd8679f4
"ory of mind network (Rabinowitz et al. 2018), the most re-

cent model (Hein and Diepold 2022, VT) is based on a video

transformer (Neimark et al. 2021). VT is rather successful in

modelling agents’ preferences, but it fails in binding them to

specific agents. Moreover, VT struggles with understanding

the role of blocking barriers and that rational agents, in con-

trast to irrational ones, move efficiently towards their goal.

To address these limitations we introduce the Intuitive

Reasoning Network (IRENE) – a novel neural network for

core intuitive psychology. IRENE uses a graph neural net-

work (GNN) to obtain rich state embeddings by processing

graphs extracted from video frames as well as a transformer

to encode the familiarisation trials in a context vector. We

show that IRENE achieves new state-of-the-art performance

on three out of five reasoning tasks defined on the BIB. Our

model performs particularly well on tasks that existing mod-

els (Gandhi et al. 2021; Hein and Diepold 2022) struggle

with: binding preferences to specific agents, differentiating

between rational and irrational agents, and understanding

how to deal with obstacles that block the agents’ goal ob-

ject. We also show that for selected tasks, its predictions are

in line with infants’ responses collected on a subset of the

BIB (Stojni´c et al. 2023). Finally, for the first time, we in-

vestigate the choice of training tasks on generalisation per-"|data_input\cureus\2.txt|daa14109762d46db9ce22efeada37c18
"BIB (Stojni´c et al. 2023). Finally, for the first time, we in-

vestigate the choice of training tasks on generalisation per-

formance. Our analyses demonstrate our model’s ability to

combine knowledge gained during training to solve unseen

evaluation tasks. Moreover, we show that training on one

type of task does not necessarily improve performance on

similar evaluation tasks but that training on unrelated tasks

can lead to improvements.In summary, our contributions are two-fold:

We propose IRENE – a novel model for intuitive psy-

chology that combines a GNN and a transformer to learn

rich state and context representations. IRENE achieves

new state-of-the-art performance on three out of five BIB

reasoning tasks. In particular, it is capable of binding

preferences to specific agents and of modelling blocking

obstacles and irrational agents better than existing mod-

els.• We are first to provide a detailed analysis of the influence

of the chosen training tasks on performance. IRENE can

achieve new state-of-the-art reasoning performance only

when trained on all training tasks, showing its ability to

combine knowledge gained during training to solve un-

seen evaluation tasks.Related WorkCommon-Sense Reasoning Benchmarks

Benchmarks for common-sense reasoning are becoming in-

creasingly popular as they enable the first steps towards

intelligent, collaborative agents that reason like humans.

Most research has focused on evaluating language process-"|data_input\cureus\2.txt|c9d7c0e029bd4a5ebe04356e6888f3c1
"intelligent, collaborative agents that reason like humans.

Most research has focused on evaluating language process-

ing (Bhagavatula et al. 2020; Huang et al. 2019; Zellers

et al. 2019; Bisk et al. 2020; Sap et al. 2019; Sakaguchi

et al. 2021) or visual scene understanding (Yi et al. 2020;

Smith et al. 2019; Ates et al. 2022) through task-specificassessments, e.g. predictive accuracy. However, a number

of benchmarks that aim to evaluate the general ability of

AI systems to reason about unexpected events or situations

have recently emerged (Riochet et al. 2020; Shu et al. 2021;

Gandhi et al. 2021; Dasgupta et al. 2021; Piloto et al. 2022;

Weihs et al. 2022). Most of these benchmarks focus on intu-

itive physics, targeting physical concepts such as continuity,

solidity, object persistence and gravity (Smith et al. 2019;

Riochet et al. 2020; Dasgupta et al. 2021; Piloto et al. 2022;

Weihs et al. 2022). Conversely, benchmarks that test mod-

els’ ability to reason about other agents have received less

attention. A notable exception is the recent BIB (Gandhi

et al. 2021) that is based on the findings that infants expect

other agents to have goals, preferences and engage in in-

strumental actions. The benchmark includes a set of tasks

to evaluate whether an AI observer can exhibit the same

capabilities. Like the BIB, AGENT tests whether models

can predict that agents have object-based goals and act ef-"|data_input\cureus\2.txt|772026c11c8d48e086e9022c8433516b
"capabilities. Like the BIB, AGENT tests whether models

can predict that agents have object-based goals and act ef-

ficiently (Shu et al. 2021). In contrast to the BIB, however,

AGENT does not evaluate whether models can reason about

multiple agents, inaccessible goals, instrumental actions, or

distinguish between rational and irrational agents. More-

over, whilst AGENT’s training and evaluation sets present

only minor differences and training is done using different

leave-out splits, the BIB provides a single canonical split

to maximise the evaluation of models’ generalisability. We

evaluate our model on the BIB given its accessibility and rel-

evance as a benchmark for assessing intuitive psychological

reasoning.

Models for Intuitive Psychology

Models for reasoning about agents’ behaviour and mental

states can be grouped into models based on Bayesian the-

ory (Baker, Saxe, and Tenenbaum 2011; Baker et al. 2017)

or deep learning (Rabinowitz et al. 2018). Shu et al. have

introduced Bayesian Inverse Planning and Core Knowl-

edge (BIPaCK) (Shu et al. 2021) that combines Bayesian

inverse planning (Baker et al. 2017) and physics simula-

tion (Battaglia, Hamrick, and Tenenbaum 2013), evaluat-

ing it on AGENT. More recently, Zhi et al. have evaluated

a Bayesian Theory of Mind model with hierarchical pri-

ors over agents’ preference and efficiency (HBToM) on the

BIB (Zhi-Xuan et al. 2022). However, this method makes"|data_input\cureus\2.txt|10b9ca3dd3cf47d2bd07394cd116b68a
"ors over agents’ preference and efficiency (HBToM) on the

BIB (Zhi-Xuan et al. 2022). However, this method makes

strong assumptions and uses a tailored definition of expect-

edness. Gandhi et al. define expectedness in terms of the

mean square error between the model prediction and the

ground-truth (Gandhi et al. 2021). Instead, HBToM com-

putes a plausibility score by training a set of logistic regres-

sion classifiers on a synthetic dataset similar to the BIB eval-

uation set. Therefore, in this work we do not compare our

results with those of HBToM.On the BIB, Gandhi et al. (Gandhi et al. 2021) have pro-

posed a model based on the Theory of Mind neural network

(ToMnet) introduced by (Rabinowitz et al. 2018). More re-

cently, Hein et al. have proposed a method (VT) based on a

video transformer (Neimark et al. 2021) that encodes frames

using a CNN and performs cross- and self-attention over

frames (Hein and Diepold 2022). In this work, we intro-

duce a novel method that uses a GNN (Gori, Monfardini,state-action pairs τi = {(sij, aij)}j=1,...,T , with sij being

video frames and T the trial length. {τi}i=1,...,8 are famil-

iarisation trials and τ9 is the test trial. Familiarisation trials

serve to give a context to the model while test trials are used

to make predictions. A test trial can be consistent with the

familiarisation examples (expected outcome) or inconsistent

(unexpected outcome). According to the VoE paradigm, if"|data_input\cureus\2.txt|3d8ab8373b474d65bc73005fdb96c377
"familiarisation examples (expected outcome) or inconsistent

(unexpected outcome). According to the VoE paradigm, if

the observer is more surprised by the unexpected outcome,

this means that what they believed or predicted would hap-

pen is not in line with what actually occurred. Expected-

ness is defined as the observer model’s prediction error: a

model is successful if the prediction error on the unexpected

outcome is higher than the error on the expected outcome.

In practice, the prediction error is quantified by the mean

squared error (MSE) with respect to a ground truth (e.g. next

frame or action).The authors provide a single canonical split for training

and evaluation, as they differ in terms of tasks and sam-

ple distributions. The evaluation set presents the tasks men-

tioned above. Familiarisation and test trials follow different

distributions: expected and unexpected trials are perceptu-

ally and conceptually different from familiarisation trials,

respectively. Consider, for example, the Preference task (see

Figure 1). In expected trials, the preferred object is located

differently than in familiarisation trials but the agent still

moves towards it. In the unexpected trials, the agent moves

towards the non-preferred object whose location is the same

as familiarisation.The training set presents four tasks: Single-Object, No-

Navigation Preference, Single-Object Multiple-Agent and

Agent-Blocked Instrumental Action. The training tasks are"|data_input\cureus\2.txt|2c8820e89edf4177aa67613fa4ffa2b8
