node_1,node_2,weight
3 cars,cars,
3 cars,episodes,
3 cars,method,
3 cars,methods,
3 cars,nested reasoning,
3 cars,tomnet’s accuracy,
3 normal cars condition,our method,
4 cars,cars,
4 cars,episodes,
4 cars,method,
4 cars,methods,
4 cars,nested reasoning,
4 cars,tomnet’s accuracy,
9 particles,our method,
accelerate,action,
accelerate,generalization testing sets,
accelerate,training sets,
accelerating probabilistic inference,neural amortized inference,
accuracy,hypotheses,
accuracy,method,
accuracy,model,
accuracy,network,
accuracy,particles,
accuracy,tomnet,
accurate,hypotheses,
accurate,method,
accurate,network,
accurate,tomnet,
action,action prediction,
action,brake,
action,comparison,
action,driver,
action,evaluation,
action,exact inference,
action,generalization testing sets,
action,goal,
action,honking,
action,i) 4 cars,
action,i-pomdp,
action,ii) 3 cars with inattentive driver,
action,level-1 agent policy,
action,"method (ours) against ei, tomnet, and ours-nn",
action,rotate left,
action,rotate right,
action,s0,
action,s1,
action,s2,
action,testing episodes,
action,training sets,
action,car,
action prediction,generalization testing sets,
action prediction,level-1 agent policy,
action prediction,method,
action prediction,training sets,
action prediction accuracy,cars,
action prediction accuracy,episodes,
action prediction accuracy,method,
action prediction accuracy,methods,
action prediction accuracy,nested reasoning,
action prediction accuracy,tomnet’s accuracy,
actions,agent j,
actions,agents,
actions,ego agent,
adjusts,alice,
adjusts,bob,
adjusts,method,
adjusts,ours,
agent,autonomous agents,
agent,block,
agent,complex domains,
agent,episode,
agent,goal,
agent,i-pomdp,
agent,inference,
agent,interactive partially observable markov decision making process (i-pomdp),
agent,model,
agent,multi-agent system,
agent,multi-agent systems,
agent,nested reasoning,
agent,observer,
agent,planner,
agent,recursive inference,
agent,step,
agent,testing episodes,
agent,training set,
agent i,agent j,
agent i,agents,
agent i,ego agent,
agent i,goal,
agent j,agents,
agent j,agents' behavior,
agent j,beliefs,
agent j,ego agent,
agent j,environment,
agent j,generative model,
agent j,goal,
agent j,i-pomdp,
agent j,i-pomdp model,
agent j,information,
agent j,interactive state,
agent j,level-ℓ,
agent j,mind,
agent j,nested reasoning,
agent j,particle sampling,
agent j,pomdp,
agent j,recognition networks,
agent j,states,
agent j,steps,
agents,agents' behavior,
agents,beliefs,
agents,ego agent,
agents,environment,
agents,generative model,
agents,goal,
agents,i-pomdp,
agents,i-pomdp model,
agents,information,
agents,interactive state,
agents,level-ℓ,
agents,mind,
agents,nested reasoning,
agents,particle sampling,
agents,pomdp,
agents,recognition networks,
agents,states,
agents,steps,
agents' behavior,ego agent,
agents' behavior,generative model,
ai systems,method,
ai systems,multi-agent interactions,
ai systems,reasoning,
ai systems,social inference,
alice,block,
alice,bob,
alice,inference,
alice,method,
alice,ours,
alice,ours-nn,
alice,tomnet,
alice,yellow and teal blocks,
amortized inference,cooperative inverse reinforcement learning (cirl),
amortized inference,gmytrasiewicz and doshi (2005),
amortized inference,human-robot cooperation,
amortized inference,inference,
amortized inference,interactive partially observable markov decision process (i-pomdp),
amortized inference,lower level inference,
amortized inference,nested goal and belief inference,
amortized inference,nested multi-agent reasoning,
amortized inference,nested reasoning between multi-agents,
amortized inference,planning,
amortized inference,recognition model,
amortized inference,recogniton model,
amortized inference,training,
amortized inference,uncertainty in inference,
amortized inference,user needs to infer,
amortized inference,neurally-guided procedural models,
"approximate the posterior belief bt i,ℓ",block,
"approximate the posterior belief bt i,ℓ",weighted samples,
autonomous agents,i-pomdp,
autonomous agents,nested reasoning,
autonomous agents,probabilistic programs,
averaged action prediction accuracy,our method,
averaged action prediction accuracy,progress of an episode,
bayesian models,social goal inference,
bayesian theory of mind,neural amortized inference,
bayesian theory of mind,generative models,
belief,goal inference,
belief,importance sampling,
belief,importance weight,
belief,inference,
belief,level,
belief,observation,
belief,particle,
belief,particles,
belief,planning,
belief,posterior,
belief,prior,
belief,recognition distribution,
belief,recognition model,
belief,recognition networks,
belief,samples,
belief,set,
belief,state inference,
belief bt,block,
belief bt,importance sampling,
beliefs,ego agent,
block,bob,
block,construction environment,
block,driver,
block,experiments,
block,goal,
block,importance sampling,
block,importance sampling at every step,
block,importance sampling at every time step,
block,inference,
block,model,
block,sampling procedure,
block,sequential monte carlo,
block,weighted samples,
bluffing,method,
bluffing,multi-agent interactions,
bluffing,reasoning,
bluffing,social inference,
bob,driver,
bob,goal,
bob,inference,
bob,method,
bob,ours,
bob,ours-nn,
bob,tomnet,
bob,yellow and teal blocks,
brake,generalization testing sets,
brake,training sets,
branch,inference,
branch,level,
branch,planning,
car,driver,
car,environment,
car,goal,
car,model,
car,planner,
